date,year,international,total_pass,xx
2017-11-19,2017,National,235603,2021-11-19
2017-11-26,2017,National,241022,2021-11-26
2017-12-01,2017,National,294037,2021-12-01
2017-11-03,2017,International outbound,28138,2021-11-03
2017-11-04,2017,International outbound,28707,2021-11-04
2017-11-05,2017,International outbound,28564,2021-11-05
2017-11-06,2017,International outbound,28636,2021-11-06
2017-11-08,2017,International outbound,25542,2021-11-08
2017-11-09,2017,International outbound,26963,2021-11-09
2017-11-10,2017,International outbound,29685,2021-11-10
2017-11-11,2017,International outbound,31378,2021-11-11
2017-11-12,2017,International outbound,32560,2021-11-12
2017-11-13,2017,International outbound,32151,2021-11-13
2017-11-15,2017,International outbound,31618,2021-11-15
2017-11-16,2017,International outbound,29364,2021-11-16
2017-11-17,2017,International outbound,27368,2021-11-17
2017-11-18,2017,International outbound,30378,2021-11-18
2017-11-19,2017,International outbound,28843,2021-11-19
2017-11-20,2017,International outbound,28602,2021-11-20
2017-11-22,2017,International outbound,26687,2021-11-22
2017-11-23,2017,International outbound,26209,2021-11-23
2017-11-05,2017,International inbound,34935,2021-11-05
2017-11-24,2017,International outbound,26511,2021-11-24
2017-11-25,2017,International outbound,29310,2021-11-25
2017-11-26,2017,International outbound,29779,2021-11-26
2017-11-27,2017,International outbound,29605,2021-11-27
2017-11-29,2017,International outbound,26345,2021-11-29
2017-11-30,2017,International outbound,26935,2021-11-30
2017-12-01,2017,International outbound,29944,2021-12-01
2017-11-04,2017,International inbound,32112,2021-11-04
2017-11-06,2017,International inbound,33014,2021-11-06
2017-11-08,2017,International inbound,27127,2021-11-08
2017-11-09,2017,International inbound,28127,2021-11-09
2017-11-10,2017,International inbound,27727,2021-11-10
2017-11-11,2017,International inbound,29566,2021-11-11
2017-11-12,2017,International inbound,30818,2021-11-12
2017-11-13,2017,International inbound,27169,2021-11-13
2017-11-15,2017,International inbound,27391,2021-11-15
2017-11-16,2017,International inbound,28389,2021-11-16
2017-11-17,2017,International inbound,28562,2021-11-17
2017-11-18,2017,International inbound,31605,2021-11-18
2017-11-19,2017,International inbound,32390,2021-11-19
2017-11-20,2017,International inbound,33787,2021-11-20
2017-11-22,2017,International inbound,27794,2021-11-22
2017-11-23,2017,International inbound,27917,2021-11-23
2017-11-24,2017,International inbound,24827,2021-11-24
2017-11-25,2017,International inbound,27562,2021-11-25
2017-11-26,2017,International inbound,31815,2021-11-26
2017-11-27,2017,International inbound,30125,2021-11-27
2017-11-29,2017,International inbound,26389,2021-11-29
2017-11-30,2017,International inbound,29819,2021-11-30
2017-11-07,2017,International outbound,25305,2021-11-07
2017-11-14,2017,International outbound,30772,2021-11-14
2017-11-21,2017,International outbound,26923,2021-11-21
2017-11-28,2017,International outbound,26033,2021-11-28
2017-11-03,2017,International inbound,27761,2021-11-03
2017-11-07,2017,International inbound,30417,2021-11-07
2017-11-14,2017,International inbound,25032,2021-11-14
2017-11-21,2017,International inbound,31541,2021-11-21
2017-11-28,2017,International inbound,27807,2021-11-28
2017-12-01,2017,International inbound,28166,2021-12-01
2017-12-02,2017,National,221049,2021-12-02
2017-12-11,2017,National,304867,2021-12-11
2017-12-04,2017,National,289908,2021-12-04
2017-12-05,2017,National,260372,2021-12-05
2017-12-06,2017,National,258579,2021-12-06
2017-12-07,2017,National,279713,2021-12-07
2017-12-08,2017,National,289507,2021-12-08
2017-12-09,2017,National,233931,2021-12-09
2017-12-12,2017,National,284498,2021-12-12
2017-12-13,2017,National,279419,2021-12-13
2017-12-14,2017,National,295025,2021-12-14
2017-12-15,2017,National,304715,2021-12-15
2017-12-18,2017,National,301384,2021-12-18
2017-12-19,2017,National,290325,2021-12-19
2017-12-20,2017,National,298793,2021-12-20
2017-12-21,2017,National,301397,2021-12-21
2017-12-22,2017,National,324012,2021-12-22
2017-12-25,2017,National,228443,2021-12-25
2017-12-26,2017,National,301785,2021-12-26
2017-12-27,2017,National,293001,2021-12-27
2017-12-28,2017,National,295202,2021-12-28
2017-12-29,2017,National,299000,2021-12-29
2017-12-16,2017,National,248686,2021-12-16
2017-12-23,2017,National,279507,2021-12-23
2017-12-30,2017,National,252776,2021-12-30
2017-12-03,2017,National,235495,2021-12-03
2017-12-10,2017,National,246115,2021-12-10
2017-12-17,2017,National,248335,2021-12-17
2017-12-24,2017,National,218215,2021-12-24
2017-12-31,2017,National,209488,2021-12-31
2018-01-01,2018,National,226600,2021-01-01
2017-12-02,2017,International outbound,32382,2021-12-02
2017-12-03,2017,International outbound,31910,2021-12-03
2017-12-04,2017,International outbound,29450,2021-12-04
2017-12-06,2017,International outbound,27901,2021-12-06
2017-12-07,2017,International outbound,29720,2021-12-07
2017-12-08,2017,International outbound,30314,2021-12-08
2017-12-09,2017,International outbound,34554,2021-12-09
2017-12-10,2017,International outbound,32981,2021-12-10
2017-12-11,2017,International outbound,33253,2021-12-11
2017-12-13,2017,International outbound,31987,2021-12-13
2017-12-05,2017,International outbound,28813,2021-12-05
2017-12-14,2017,International outbound,34529,2021-12-14
2017-12-15,2017,International outbound,35244,2021-12-15
2017-12-16,2017,International outbound,37399,2021-12-16
2017-12-18,2017,International outbound,31558,2021-12-18
2017-12-20,2017,International outbound,36204,2021-12-20
2017-12-21,2017,International outbound,37468,2021-12-21
2017-12-22,2017,International outbound,36986,2021-12-22
2017-12-23,2017,International outbound,40025,2021-12-23
2017-12-24,2017,International outbound,36007,2021-12-24
2017-12-27,2017,International outbound,36668,2021-12-27
2017-12-28,2017,International outbound,34972,2021-12-28
2017-12-29,2017,International outbound,36680,2021-12-29
2017-12-30,2017,International outbound,37790,2021-12-30
2017-12-31,2017,International outbound,33789,2021-12-31
2018-01-01,2018,International outbound,29714,2021-01-01
2017-12-02,2017,International inbound,30710,2021-12-02
2017-12-03,2017,International inbound,31167,2021-12-03
2017-12-04,2017,International inbound,28782,2021-12-04
2017-12-06,2017,International inbound,26089,2021-12-06
2017-12-07,2017,International inbound,28150,2021-12-07
2017-12-08,2017,International inbound,28696,2021-12-08
2017-12-09,2017,International inbound,30727,2021-12-09
2017-12-10,2017,International inbound,31516,2021-12-10
2017-12-11,2017,International inbound,30393,2021-12-11
2017-12-13,2017,International inbound,29202,2021-12-13
2017-12-14,2017,International inbound,30898,2021-12-14
2017-12-15,2017,International inbound,30458,2021-12-15
2017-12-16,2017,International inbound,33422,2021-12-16
2017-12-17,2017,International inbound,34804,2021-12-17
2017-12-18,2017,International inbound,27888,2021-12-18
2017-12-20,2017,International inbound,32663,2021-12-20
2017-12-21,2017,International inbound,34519,2021-12-21
2017-12-17,2017,International outbound,36002,2021-12-17
2017-12-22,2017,International inbound,33710,2021-12-22
2017-12-23,2017,International inbound,35880,2021-12-23
2017-12-24,2017,International inbound,32664,2021-12-24
2017-12-27,2017,International inbound,31243,2021-12-27
2017-12-28,2017,International inbound,32829,2021-12-28
2017-12-29,2017,International inbound,31586,2021-12-29
2017-12-30,2017,International inbound,33083,2021-12-30
2017-12-31,2017,International inbound,29063,2021-12-31
2017-12-12,2017,International outbound,31585,2021-12-12
2017-12-19,2017,International outbound,32113,2021-12-19
2017-12-25,2017,International outbound,31875,2021-12-25
2017-12-26,2017,International outbound,34647,2021-12-26
2017-12-05,2017,International inbound,26531,2021-12-05
2017-12-12,2017,International inbound,29856,2021-12-12
2017-12-25,2017,International inbound,24633,2021-12-25
2017-12-26,2017,International inbound,28896,2021-12-26
2018-01-01,2018,International inbound,25819,2021-01-01
2018-01-03,2018,International inbound,33468,2021-01-03
2018-01-02,2018,International outbound,34399,2021-01-02
2018-01-14,2018,National,258749,2021-01-14
2018-01-13,2018,National,249795,2021-01-13
2018-01-27,2018,National,233353,2021-01-27
2018-01-28,2018,National,251439,2021-01-28
2018-01-20,2018,National,253442,2021-01-20
2018-01-21,2018,National,260338,2021-01-21
2018-01-04,2018,National,298959,2021-01-04
2018-01-02,2018,National,303345,2021-01-02
2018-01-03,2018,National,298998,2021-01-03
2018-01-05,2018,National,298432,2021-01-05
2018-01-08,2018,National,304057,2021-01-08
2018-01-09,2018,National,291713,2021-01-09
2018-01-10,2018,National,284233,2021-01-10
2018-01-11,2018,National,293123,2021-01-11
2018-01-12,2018,National,302328,2021-01-12
2018-01-15,2018,National,308325,2021-01-15
2018-01-16,2018,National,294860,2021-01-16
2018-01-17,2018,National,289185,2021-01-17
2018-01-18,2018,National,297894,2021-01-18
2018-01-19,2018,National,303092,2021-01-19
2018-01-22,2018,National,306598,2021-01-22
2018-01-23,2018,National,290095,2021-01-23
2018-01-24,2018,National,286160,2021-01-24
2018-01-25,2018,National,290650,2021-01-25
2018-01-26,2018,National,286730,2021-01-26
2018-01-29,2018,National,295807,2021-01-29
2018-01-30,2018,National,276783,2021-01-30
2018-01-31,2018,National,275839,2021-01-31
2018-01-06,2018,National,253042,2021-01-06
2018-01-07,2018,National,260030,2021-01-07
2018-02-01,2018,National,273609,2021-02-01
2018-01-03,2018,International outbound,38103,2021-01-03
2018-01-04,2018,International outbound,36483,2021-01-04
2018-01-05,2018,International outbound,34868,2021-01-05
2018-01-06,2018,International outbound,38101,2021-01-06
2018-01-07,2018,International outbound,38823,2021-01-07
2018-01-08,2018,International outbound,38145,2021-01-08
2018-01-10,2018,International outbound,35722,2021-01-10
2018-01-11,2018,International outbound,35264,2021-01-11
2018-01-12,2018,International outbound,37020,2021-01-12
2018-01-13,2018,International outbound,41465,2021-01-13
2018-01-14,2018,International outbound,40274,2021-01-14
2018-01-15,2018,International outbound,37798,2021-01-15
2018-01-17,2018,International outbound,36289,2021-01-17
2018-01-18,2018,International outbound,35449,2021-01-18
2018-01-19,2018,International outbound,38044,2021-01-19
2018-01-20,2018,International outbound,38183,2021-01-20
2018-01-21,2018,International outbound,40098,2021-01-21
2018-01-22,2018,International outbound,36444,2021-01-22
2018-01-24,2018,International outbound,35186,2021-01-24
2018-01-25,2018,International outbound,35992,2021-01-25
2018-01-26,2018,International outbound,35134,2021-01-26
2018-01-27,2018,International outbound,37305,2021-01-27
2018-01-28,2018,International outbound,37600,2021-01-28
2018-01-29,2018,International outbound,34474,2021-01-29
2018-01-31,2018,International outbound,32364,2021-01-31
2018-02-01,2018,International outbound,32480,2021-02-01
2018-01-04,2018,International inbound,35606,2021-01-04
2018-01-09,2018,International outbound,35752,2021-01-09
2018-01-05,2018,International inbound,34198,2021-01-05
2018-01-06,2018,International inbound,38667,2021-01-06
2018-01-07,2018,International inbound,39602,2021-01-07
2018-01-08,2018,International inbound,35741,2021-01-08
2018-01-10,2018,International inbound,33787,2021-01-10
2018-01-11,2018,International inbound,35523,2021-01-11
2018-01-12,2018,International inbound,33850,2021-01-12
2018-01-13,2018,International inbound,39918,2021-01-13
2018-01-14,2018,International inbound,39929,2021-01-14
2018-01-15,2018,International inbound,36666,2021-01-15
2018-01-17,2018,International inbound,33551,2021-01-17
2018-01-18,2018,International inbound,34423,2021-01-18
2018-01-19,2018,International inbound,34872,2021-01-19
2018-01-20,2018,International inbound,39277,2021-01-20
2018-01-21,2018,International inbound,39074,2021-01-21
2018-01-22,2018,International inbound,34293,2021-01-22
2018-01-24,2018,International inbound,31604,2021-01-24
2018-01-25,2018,International inbound,34118,2021-01-25
2018-01-26,2018,International inbound,34390,2021-01-26
2018-01-27,2018,International inbound,38596,2021-01-27
2018-01-28,2018,International inbound,39570,2021-01-28
2018-01-29,2018,International inbound,36009,2021-01-29
2018-01-31,2018,International inbound,33320,2021-01-31
2018-01-16,2018,International outbound,36579,2021-01-16
2018-01-23,2018,International outbound,33889,2021-01-23
2018-01-30,2018,International outbound,31976,2021-01-30
2018-01-02,2018,International inbound,33314,2021-01-02
2018-01-09,2018,International inbound,35689,2021-01-09
2018-01-16,2018,International inbound,35060,2021-01-16
2018-01-23,2018,International inbound,33138,2021-01-23
2018-01-30,2018,International inbound,35028,2021-01-30
2018-02-01,2018,International inbound,34920,2021-02-01
2018-02-07,2018,International inbound,30962,2021-02-07
2018-02-19,2018,National,276158,2021-02-19
2018-02-26,2018,National,267500,2021-02-26
2018-02-27,2018,National,237971,2021-02-27
2018-02-28,2018,National,241757,2021-02-28
2018-02-20,2018,National,254220,2021-02-20
2018-02-21,2018,National,249140,2021-02-21
2018-02-22,2018,National,261447,2021-02-22
2018-02-23,2018,National,277226,2021-02-23
2018-02-02,2018,National,281350,2021-02-02
2018-02-05,2018,National,270682,2021-02-05
2018-02-06,2018,National,254550,2021-02-06
2018-02-07,2018,National,262702,2021-02-07
2018-02-08,2018,National,278557,2021-02-08
2018-02-09,2018,National,305431,2021-02-09
2018-02-13,2018,National,221384,2021-02-13
2018-02-14,2018,National,277149,2021-02-14
2018-02-15,2018,National,253657,2021-02-15
2018-02-16,2018,National,250357,2021-02-16
2018-02-24,2018,National,206810,2021-02-24
2018-02-03,2018,National,218900,2021-02-03
2018-02-10,2018,National,251919,2021-02-10
2018-02-12,2018,National,168698,2021-02-12
2018-02-04,2018,National,230126,2021-02-04
2018-02-11,2018,National,165929,2021-02-11
2018-02-17,2018,National,205128,2021-02-17
2018-02-18,2018,National,231677,2021-02-18
2018-02-25,2018,National,223692,2021-02-25
2018-03-01,2018,National,254421,2021-03-01
2018-02-02,2018,International outbound,34116,2021-02-02
2018-02-03,2018,International outbound,37847,2021-02-03
2018-02-04,2018,International outbound,38712,2021-02-04
2018-02-05,2018,International outbound,34185,2021-02-05
2018-02-07,2018,International outbound,33986,2021-02-07
2018-02-08,2018,International outbound,36752,2021-02-08
2018-02-09,2018,International outbound,39900,2021-02-09
2018-02-10,2018,International outbound,43435,2021-02-10
2018-02-17,2018,International outbound,35082,2021-02-17
2018-02-11,2018,International outbound,39028,2021-02-11
2018-02-12,2018,International outbound,34450,2021-02-12
2018-02-14,2018,International outbound,30136,2021-02-14
2018-02-15,2018,International outbound,29263,2021-02-15
2018-02-16,2018,International outbound,29978,2021-02-16
2018-02-18,2018,International outbound,33911,2021-02-18
2018-02-19,2018,International outbound,32196,2021-02-19
2018-02-21,2018,International outbound,29892,2021-02-21
2018-02-22,2018,International outbound,30197,2021-02-22
2018-02-23,2018,International outbound,30526,2021-02-23
2018-02-24,2018,International outbound,36036,2021-02-24
2018-02-25,2018,International outbound,35202,2021-02-25
2018-02-26,2018,International outbound,32086,2021-02-26
2018-02-28,2018,International outbound,30915,2021-02-28
2018-03-01,2018,International outbound,31081,2021-03-01
2018-02-02,2018,International inbound,34105,2021-02-02
2018-02-03,2018,International inbound,37943,2021-02-03
2018-02-04,2018,International inbound,37437,2021-02-04
2018-02-05,2018,International inbound,33832,2021-02-05
2018-02-08,2018,International inbound,32437,2021-02-08
2018-02-09,2018,International inbound,33037,2021-02-09
2018-02-10,2018,International inbound,35192,2021-02-10
2018-02-11,2018,International inbound,32869,2021-02-11
2018-02-12,2018,International inbound,29413,2021-02-12
2018-02-14,2018,International inbound,33672,2021-02-14
2018-02-15,2018,International inbound,35104,2021-02-15
2018-02-16,2018,International inbound,33416,2021-02-16
2018-02-17,2018,International inbound,38969,2021-02-17
2018-02-21,2018,International inbound,30664,2021-02-21
2018-02-22,2018,International inbound,30923,2021-02-22
2018-02-23,2018,International inbound,30439,2021-02-23
2018-02-24,2018,International inbound,32692,2021-02-24
2018-02-25,2018,International inbound,34053,2021-02-25
2018-02-26,2018,International inbound,30252,2021-02-26
2018-02-28,2018,International inbound,27334,2021-02-28
2018-02-06,2018,International outbound,34461,2021-02-06
2018-02-13,2018,International outbound,32916,2021-02-13
2018-02-20,2018,International outbound,31190,2021-02-20
2018-02-27,2018,International outbound,30845,2021-02-27
2018-02-06,2018,International inbound,32018,2021-02-06
2018-02-13,2018,International inbound,31753,2021-02-13
2018-02-20,2018,International inbound,32547,2021-02-20
2018-02-27,2018,International inbound,28825,2021-02-27
2018-03-01,2018,International inbound,27843,2021-03-01
2018-03-22,2018,International inbound,27754,2021-03-22
2018-03-22,2018,National,264013,2021-03-22
2018-03-07,2018,National,228116,2021-03-07
2018-03-15,2018,National,259859,2021-03-15
2018-03-16,2018,National,280153,2021-03-16
2018-03-19,2018,National,276846,2021-03-19
2018-03-20,2018,National,244328,2021-03-20
2018-03-21,2018,National,243592,2021-03-21
2018-03-29,2018,National,294191,2021-03-29
2018-03-30,2018,National,214545,2021-03-30
2018-03-02,2018,National,265250,2021-03-02
2018-03-05,2018,National,264990,2021-03-05
2018-03-13,2018,National,241696,2021-03-13
2018-03-14,2018,National,235630,2021-03-14
2018-03-28,2018,National,260207,2021-03-28
2018-03-09,2018,National,267952,2021-03-09
2018-03-10,2018,National,198687,2021-03-10
2018-03-12,2018,National,262089,2021-03-12
2018-03-23,2018,National,283507,2021-03-23
2018-03-24,2018,National,213574,2021-03-24
2018-03-26,2018,National,267898,2021-03-26
2018-03-03,2018,National,203802,2021-03-03
2018-03-06,2018,National,234288,2021-03-06
2018-03-17,2018,National,211246,2021-03-17
2018-03-27,2018,National,246716,2021-03-27
2018-03-08,2018,National,249642,2021-03-08
2018-03-31,2018,National,153690,2021-03-31
2018-03-04,2018,National,223975,2021-03-04
2018-03-11,2018,National,225112,2021-03-11
2018-03-18,2018,National,228665,2021-03-18
2018-03-25,2018,National,222692,2021-03-25
2018-04-01,2018,National,236829,2021-04-01
2018-03-02,2018,International outbound,32394,2021-03-02
2018-03-03,2018,International outbound,37111,2021-03-03
2018-03-04,2018,International outbound,35712,2021-03-04
2018-03-05,2018,International outbound,33737,2021-03-05
2018-03-07,2018,International outbound,30249,2021-03-07
2018-03-08,2018,International outbound,30588,2021-03-08
2018-03-09,2018,International outbound,31887,2021-03-09
2018-03-10,2018,International outbound,34489,2021-03-10
2018-03-11,2018,International outbound,35103,2021-03-11
2018-03-12,2018,International outbound,31071,2021-03-12
2018-03-14,2018,International outbound,29263,2021-03-14
2018-03-15,2018,International outbound,29573,2021-03-15
2018-03-16,2018,International outbound,31514,2021-03-16
2018-03-17,2018,International outbound,34814,2021-03-17
2018-03-18,2018,International outbound,34965,2021-03-18
2018-03-19,2018,International outbound,32514,2021-03-19
2018-03-21,2018,International outbound,29297,2021-03-21
2018-03-22,2018,International outbound,30329,2021-03-22
2018-03-23,2018,International outbound,31304,2021-03-23
2018-03-24,2018,International outbound,34876,2021-03-24
2018-03-25,2018,International outbound,32968,2021-03-25
2018-03-26,2018,International outbound,29912,2021-03-26
2018-03-28,2018,International outbound,27179,2021-03-28
2018-03-29,2018,International outbound,31536,2021-03-29
2018-03-30,2018,International outbound,32483,2021-03-30
2018-03-31,2018,International outbound,31668,2021-03-31
2018-04-01,2018,International outbound,33913,2021-04-01
2018-03-02,2018,International inbound,28744,2021-03-02
2018-03-03,2018,International inbound,32017,2021-03-03
2018-03-04,2018,International inbound,33079,2021-03-04
2018-03-05,2018,International inbound,28278,2021-03-05
2018-03-07,2018,International inbound,23370,2021-03-07
2018-03-08,2018,International inbound,24778,2021-03-08
2018-03-09,2018,International inbound,25644,2021-03-09
2018-03-10,2018,International inbound,30746,2021-03-10
2018-03-11,2018,International inbound,31474,2021-03-11
2018-03-12,2018,International inbound,28770,2021-03-12
2018-03-14,2018,International inbound,23263,2021-03-14
2018-03-15,2018,International inbound,26552,2021-03-15
2018-03-16,2018,International inbound,25059,2021-03-16
2018-03-17,2018,International inbound,31519,2021-03-17
2018-03-18,2018,International inbound,32162,2021-03-18
2018-03-19,2018,International inbound,29854,2021-03-19
2018-03-21,2018,International inbound,24506,2021-03-21
2018-03-23,2018,International inbound,27686,2021-03-23
2018-03-24,2018,International inbound,33766,2021-03-24
2018-03-25,2018,International inbound,33493,2021-03-25
2018-03-26,2018,International inbound,26969,2021-03-26
2018-03-29,2018,International inbound,28484,2021-03-29
2018-03-30,2018,International inbound,26942,2021-03-30
2018-03-31,2018,International inbound,29022,2021-03-31
2018-03-06,2018,International outbound,29812,2021-03-06
2018-03-13,2018,International outbound,29198,2021-03-13
2018-03-20,2018,International outbound,29990,2021-03-20
2018-03-27,2018,International outbound,26160,2021-03-27
2018-03-06,2018,International inbound,26184,2021-03-06
2018-03-13,2018,International inbound,26199,2021-03-13
2018-03-20,2018,International inbound,27008,2021-03-20
2018-03-27,2018,International inbound,24369,2021-03-27
2018-04-01,2018,International inbound,31519,2021-04-01
2018-04-25,2018,International outbound,28132,2021-04-25
2018-04-02,2018,International outbound,33551,2021-04-02
2018-04-02,2018,National,294303,2021-04-02
2018-04-05,2018,International outbound,29849,2021-04-05
2018-04-09,2018,National,267722,2021-04-09
2018-04-10,2018,National,237211,2021-04-10
2018-04-11,2018,National,238291,2021-04-11
2018-04-12,2018,National,254767,2021-04-12
2018-04-13,2018,National,280354,2021-04-13
2018-04-14,2018,National,211875,2021-04-14
2018-04-16,2018,National,274844,2021-04-16
2018-04-17,2018,National,236021,2021-04-17
2018-04-18,2018,National,236781,2021-04-18
2018-04-19,2018,National,257394,2021-04-19
2018-04-20,2018,National,281289,2021-04-20
2018-04-21,2018,National,208602,2021-04-21
2018-04-23,2018,National,280673,2021-04-23
2018-04-24,2018,National,241234,2021-04-24
2018-04-25,2018,National,242672,2021-04-25
2018-04-26,2018,National,278027,2021-04-26
2018-04-27,2018,National,305201,2021-04-27
2018-04-28,2018,National,231971,2021-04-28
2018-04-03,2018,National,253183,2021-04-03
2018-04-04,2018,National,232487,2021-04-04
2018-04-06,2018,National,266867,2021-04-06
2018-04-07,2018,National,195648,2021-04-07
2018-04-30,2018,National,191595,2021-04-30
2018-04-08,2018,National,221293,2021-04-08
2018-04-15,2018,National,227420,2021-04-15
2018-04-22,2018,National,225301,2021-04-22
2018-04-29,2018,National,179035,2021-04-29
2018-05-01,2018,National,253158,2021-05-01
2018-04-04,2018,International outbound,29509,2021-04-04
2018-04-06,2018,International outbound,31194,2021-04-06
2018-04-07,2018,International outbound,35445,2021-04-07
2018-04-08,2018,International outbound,34808,2021-04-08
2018-04-09,2018,International outbound,32706,2021-04-09
2018-04-11,2018,International outbound,29349,2021-04-11
2018-04-12,2018,International outbound,30879,2021-04-12
2018-04-13,2018,International outbound,30983,2021-04-13
2018-04-14,2018,International outbound,35195,2021-04-14
2018-04-15,2018,International outbound,36166,2021-04-15
2018-04-16,2018,International outbound,33667,2021-04-16
2018-04-18,2018,International outbound,29498,2021-04-18
2018-04-19,2018,International outbound,31286,2021-04-19
2018-04-20,2018,International outbound,31109,2021-04-20
2018-04-22,2018,International outbound,34444,2021-04-22
2018-04-23,2018,International outbound,32261,2021-04-23
2018-04-26,2018,International outbound,33334,2021-04-26
2018-04-27,2018,International outbound,36151,2021-04-27
2018-04-28,2018,International outbound,37657,2021-04-28
2018-04-29,2018,International outbound,35037,2021-04-29
2018-04-30,2018,International outbound,33240,2021-04-30
2018-04-02,2018,International inbound,29126,2021-04-02
2018-04-04,2018,International inbound,23242,2021-04-04
2018-04-06,2018,International inbound,21449,2021-04-06
2018-04-07,2018,International inbound,24382,2021-04-07
2018-04-08,2018,International inbound,28261,2021-04-08
2018-04-09,2018,International inbound,26546,2021-04-09
2018-04-11,2018,International inbound,22100,2021-04-11
2018-04-12,2018,International inbound,21457,2021-04-12
2018-04-13,2018,International inbound,24666,2021-04-13
2018-04-14,2018,International inbound,27134,2021-04-14
2018-04-15,2018,International inbound,32612,2021-04-15
2018-04-16,2018,International inbound,27029,2021-04-16
2018-04-18,2018,International inbound,23199,2021-04-18
2018-04-19,2018,International inbound,25055,2021-04-19
2018-04-20,2018,International inbound,26421,2021-04-20
2018-04-21,2018,International inbound,29978,2021-04-21
2018-04-22,2018,International inbound,33262,2021-04-22
2018-04-23,2018,International inbound,28703,2021-04-23
2018-04-25,2018,International inbound,25853,2021-04-25
2018-04-26,2018,International inbound,28197,2021-04-26
2018-04-27,2018,International inbound,28603,2021-04-27
2018-04-28,2018,International inbound,30801,2021-04-28
2018-04-29,2018,International inbound,31085,2021-04-29
2018-04-30,2018,International inbound,28329,2021-04-30
2018-04-03,2018,International outbound,31007,2021-04-03
2018-04-10,2018,International outbound,30137,2021-04-10
2018-04-17,2018,International outbound,29734,2021-04-17
2018-04-24,2018,International outbound,29286,2021-04-24
2018-04-03,2018,International inbound,25227,2021-04-03
2018-04-10,2018,International inbound,22317,2021-04-10
2018-04-17,2018,International inbound,24167,2021-04-17
2018-04-24,2018,International inbound,24450,2021-04-24
2018-05-01,2018,International outbound,32086,2021-05-01
2018-05-01,2018,International inbound,29302,2021-05-01
2018-05-02,2018,National,250836,2021-05-02
2018-05-13,2018,International outbound,32209,2021-05-13
2018-05-12,2018,National,202641,2021-05-12
2018-05-08,2018,National,220793,2021-05-08
2018-05-09,2018,National,221896,2021-05-09
2018-05-10,2018,National,248536,2021-05-10
2018-05-11,2018,National,274988,2021-05-11
2018-05-14,2018,National,273913,2021-05-14
2018-05-22,2018,National,238611,2021-05-22
2018-05-23,2018,National,246909,2021-05-23
2018-05-24,2018,National,261961,2021-05-24
2018-05-25,2018,National,260180,2021-05-25
2018-05-28,2018,National,223934,2021-05-28
2018-05-04,2018,National,259108,2021-05-04
2018-05-07,2018,National,262822,2021-05-07
2018-05-18,2018,National,285933,2021-05-18
2018-05-21,2018,National,291580,2021-05-21
2018-05-03,2018,National,245728,2021-05-03
2018-05-05,2018,National,193946,2021-05-05
2018-05-15,2018,National,240698,2021-05-15
2018-05-16,2018,National,235636,2021-05-16
2018-05-17,2018,National,260731,2021-05-17
2018-05-26,2018,National,177194,2021-05-26
2018-05-29,2018,National,203970,2021-05-29
2018-05-30,2018,National,232525,2021-05-30
2018-05-19,2018,National,212000,2021-05-19
2018-05-31,2018,National,229405,2021-05-31
2018-05-06,2018,National,221305,2021-05-06
2018-05-13,2018,National,214116,2021-05-13
2018-05-20,2018,National,236999,2021-05-20
2018-05-27,2018,National,198471,2021-05-27
2018-06-01,2018,National,175471,2021-06-01
2018-05-03,2018,International outbound,29984,2021-05-03
2018-05-05,2018,International outbound,32057,2021-05-05
2018-05-08,2018,International outbound,27504,2021-05-08
2018-05-10,2018,International outbound,28573,2021-05-10
2018-05-12,2018,International outbound,32065,2021-05-12
2018-05-15,2018,International outbound,29190,2021-05-15
2018-05-17,2018,International outbound,29549,2021-05-17
2018-05-19,2018,International outbound,31463,2021-05-19
2018-05-22,2018,International outbound,26446,2021-05-22
2018-05-24,2018,International outbound,29018,2021-05-24
2018-05-29,2018,International outbound,28130,2021-05-29
2018-05-31,2018,International outbound,31264,2021-05-31
2018-05-03,2018,International inbound,27034,2021-05-03
2018-05-05,2018,International inbound,28621,2021-05-05
2018-05-08,2018,International inbound,24564,2021-05-08
2018-05-10,2018,International inbound,24837,2021-05-10
2018-05-12,2018,International inbound,27505,2021-05-12
2018-05-15,2018,International inbound,24816,2021-05-15
2018-05-17,2018,International inbound,24974,2021-05-17
2018-05-19,2018,International inbound,28235,2021-05-19
2018-05-22,2018,International inbound,24924,2021-05-22
2018-05-24,2018,International inbound,27807,2021-05-24
2018-05-29,2018,International inbound,22939,2021-05-29
2018-05-31,2018,International inbound,27162,2021-05-31
2018-05-02,2018,International outbound,30821,2021-05-02
2018-05-04,2018,International outbound,31381,2021-05-04
2018-05-06,2018,International outbound,33272,2021-05-06
2018-05-07,2018,International outbound,31645,2021-05-07
2018-05-11,2018,International outbound,31285,2021-05-11
2018-05-14,2018,International outbound,32384,2021-05-14
2018-05-18,2018,International outbound,32002,2021-05-18
2018-05-21,2018,International outbound,30922,2021-05-21
2018-05-25,2018,International outbound,29896,2021-05-25
2018-05-26,2018,International outbound,31903,2021-05-26
2018-05-28,2018,International outbound,29320,2021-05-28
2018-06-01,2018,International outbound,31239,2021-06-01
2018-05-02,2018,International inbound,29351,2021-05-02
2018-05-04,2018,International inbound,25945,2021-05-04
2018-05-06,2018,International inbound,33190,2021-05-06
2018-05-07,2018,International inbound,28685,2021-05-07
2018-05-11,2018,International inbound,27937,2021-05-11
2018-05-13,2018,International inbound,31051,2021-05-13
